City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Dumas,US,2021-06-04 19:16:38,35.8656,-101.9732,83.62,39,1,17.27
156,Leningradskiy,RU,2021-06-04 19:16:38,69.3833,178.4167,30.36,84,79,8.66
157,Izmit,TR,2021-06-04 19:12:37,40.7669,29.9169,64.58,94,20,1.63
158,Tommot,RU,2021-06-04 19:16:39,58.9564,126.2925,51.24,75,7,3.15
159,Santa Cruz Del Sur,CU,2021-06-04 19:16:39,20.7147,-77.9956,84.94,63,12,4.34
160,Hull,GB,2021-06-04 19:16:39,53.7446,-0.3353,64.53,81,90,4.16
161,Chicama,PE,2021-06-04 19:16:39,-7.8447,-79.1469,66.74,59,86,9.93
162,Saint-Georges,GD,2021-06-04 19:16:40,12.0564,-61.7485,83.88,79,20,18.41
163,Saldanha,ZA,2021-06-04 19:16:40,-33.0117,17.9442,59.09,67,100,8.05
164,Samana,DO,2021-06-04 19:16:40,19.2056,-69.3369,86.22,74,75,4.61
165,Cidreira,BR,2021-06-04 19:16:41,-30.1811,-50.2056,68.85,72,11,7.81
166,Tasiilaq,GL,2021-06-04 19:16:41,65.6145,-37.6368,41.16,85,100,4.21
167,Independence,US,2021-06-04 19:16:41,39.0911,-94.4155,86.04,55,40,3.0
168,Sterling,US,2021-06-04 19:16:42,39.0062,-77.4286,86.34,54,40,1.01
169,Ekuvukeni,ZA,2021-06-04 19:16:42,-28.4675,30.1551,44.24,76,0,2.33
170,Baruun-Urt,MN,2021-06-04 19:16:42,46.6806,113.2792,54.03,64,7,8.1
171,Zhigansk,RU,2021-06-04 19:16:43,66.7697,123.3711,50.13,52,93,17.67
172,Avdon,RU,2021-06-04 19:16:43,54.6667,55.7167,54.25,54,0,7.29
173,Aswan,EG,2021-06-04 19:16:44,24.0934,32.907,88.84,15,0,21.5
174,Chokurdakh,RU,2021-06-04 19:16:44,70.6333,147.9167,50.77,87,100,4.61
175,Cabo San Lucas,MX,2021-06-04 19:16:44,22.8909,-109.9124,97.81,51,1,12.66
176,Cururupu,BR,2021-06-04 19:16:45,-1.8283,-44.8683,84.92,63,9,6.33
177,Northam,GB,2021-06-04 19:16:45,51.0333,-4.2167,62.22,76,8,4.85
178,San Rafael Del Sur,NI,2021-06-04 19:16:45,11.8485,-86.4384,92.37,34,8,12.97
179,Linxia,CN,2021-06-04 19:16:46,35.6003,103.2064,55.35,35,0,5.08
180,Cockburn Town,TC,2021-06-04 19:16:47,21.4612,-71.1419,80.08,80,30,20.09
181,Avarua,CK,2021-06-04 19:16:47,-21.2078,-159.775,77.05,73,20,18.41
182,Petropavlovsk-Kamchatskiy,RU,2021-06-04 19:14:15,53.0452,158.6483,50.59,54,100,8.16
183,Tual,ID,2021-06-04 19:16:47,-5.6667,132.75,81.32,75,100,18.7
184,Half Moon Bay,US,2021-06-04 19:16:48,37.4636,-122.4286,82.11,70,75,8.05
185,Barrow,US,2021-06-04 19:16:48,71.2906,-156.7887,32.02,86,90,11.5
186,Mumbwa,ZM,2021-06-04 19:16:48,-14.9783,27.0619,58.17,71,2,4.47
187,Kapaa,US,2021-06-04 19:12:13,22.0752,-159.319,78.78,86,90,1.99
188,Quatre Cocos,MU,2021-06-04 19:16:49,-20.2078,57.7625,71.1,85,95,18.14
189,Venado Tuerto,AR,2021-06-04 19:16:49,-33.7456,-61.9688,72.9,64,100,4.54
190,Port-Cartier,CA,2021-06-04 19:16:50,50.0334,-66.8654,68.22,57,82,9.37
191,Pacifica,US,2021-06-04 19:16:50,37.6138,-122.4869,84.25,79,75,1.99
192,Saint-Joseph,RE,2021-06-04 19:16:51,-21.3667,55.6167,73.76,81,19,10.07
193,Albanel,CA,2021-06-04 19:16:51,48.8832,-72.4487,73.54,46,97,11.5
194,Norman Wells,CA,2021-06-04 19:16:52,65.282,-126.8329,59.04,58,75,14.97
195,Katobu,ID,2021-06-04 19:16:52,-4.9408,122.5276,75.15,93,93,3.49
196,Vardo,NO,2021-06-04 19:16:52,70.3705,31.1107,50.2,87,0,2.3
197,Kati,ML,2021-06-04 19:16:53,12.7441,-8.0726,92.61,23,81,4.43
198,Bethel,US,2021-06-04 19:16:53,41.3712,-73.414,78.89,57,40,8.05
199,Menongue,AO,2021-06-04 19:16:53,-14.6585,17.691,53.71,32,0,5.64
200,Iqaluit,CA,2021-06-04 19:16:53,63.7506,-68.5145,37.13,74,90,11.99
201,Santa Cruz,BO,2021-06-04 19:13:08,-17.8,-63.1667,84.25,61,75,17.27
202,Cayenne,GF,2021-06-04 19:16:54,4.9333,-52.3333,84.09,81,75,1.99
203,Bolu,TR,2021-06-04 19:16:54,40.6667,31.5833,45.59,93,31,0.76
204,Castro,BR,2021-06-04 19:16:55,-24.7911,-50.0119,72.12,60,0,4.81
205,Sioux Lookout,CA,2021-06-04 19:16:03,50.1001,-91.917,91.78,37,75,11.5
206,Hilo,US,2021-06-04 19:16:55,19.7297,-155.09,84.27,62,90,4.61
207,Puerto Cabello,VE,2021-06-04 19:16:55,10.4731,-68.0125,92.75,88,99,12.44
208,Watertown,US,2021-06-04 19:16:56,42.3709,-71.1828,79.45,76,1,3.0
209,Erenhot,CN,2021-06-04 19:16:56,43.6475,111.9767,60.3,23,9,7.61
210,Banda Aceh,ID,2021-06-04 19:13:26,5.5577,95.3222,75.25,79,100,13.0
211,Avola,IT,2021-06-04 19:16:56,36.9113,15.1395,73.53,62,3,8.19
212,Uige,AO,2021-06-04 19:16:57,-7.6087,15.0613,74.97,46,99,1.88
213,Andapa,MG,2021-06-04 19:16:57,-14.65,49.65,66.29,99,59,1.16
214,Kailua,US,2021-06-04 19:12:01,21.4022,-157.7394,80.58,69,40,8.05
215,Axim,GH,2021-06-04 19:16:57,4.8699,-2.2405,79.88,83,100,8.14
216,Muisne,EC,2021-06-04 19:16:11,0.6,-80.0333,84.31,81,73,8.37
217,Lesmahagow,GB,2021-06-04 19:16:58,55.6367,-3.8874,60.87,59,81,7.14
218,Gwanda,ZW,2021-06-04 19:16:58,-20.9333,29.0,50.88,68,4,6.24
219,Yabelo,ET,2021-06-04 19:16:59,4.8833,38.0833,60.53,78,63,6.31
220,Navirai,BR,2021-06-04 19:16:59,-23.065,-54.1906,86.07,32,0,8.63
221,Upernavik,GL,2021-06-04 19:16:59,72.7868,-56.1549,33.31,80,100,7.43
222,Ahipara,NZ,2021-06-04 19:16:59,-35.1667,173.1667,55.99,85,100,10.31
223,Hay River,CA,2021-06-04 19:15:46,60.8156,-115.7999,64.38,39,40,10.36
224,Berlevag,NO,2021-06-04 19:17:00,70.8578,29.0864,48.0,93,75,2.3
225,Senno,RU,2021-06-04 19:17:00,59.5336,33.9167,54.27,64,1,4.81
226,Tianpeng,CN,2021-06-04 19:17:00,30.9866,103.9393,68.47,64,100,4.36
227,Calvinia,ZA,2021-06-04 19:17:01,-31.4707,19.776,52.92,21,2,4.41
228,Eureka,US,2021-06-04 19:13:18,40.8021,-124.1637,61.93,76,37,5.99
229,Kourou,GF,2021-06-04 19:17:01,5.1552,-52.6478,84.11,78,55,8.05
230,Gat,IL,2021-06-04 19:17:02,31.61,34.7642,71.82,69,0,4.52
231,Lavrentiya,RU,2021-06-04 19:17:02,65.5833,-171.0,32.02,93,100,2.42
232,Bukama,CD,2021-06-04 19:17:02,-9.2,25.85,76.75,46,33,0.87
