City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Bugojno,BA,44.0572,17.4508,48.74,98,100,4.59,overcast clouds
240,Ulaangom,MN,49.9811,92.0667,75.7,24,79,4.74,broken clouds
241,Sur,OM,22.5667,59.5289,88.63,53,22,3.89,few clouds
242,Yar-Sale,RU,66.8333,70.8333,38.43,49,59,9.75,broken clouds
243,Abu Samrah,SY,35.3029,37.1841,66.85,58,0,7.92,clear sky
244,Nanortalik,GL,60.1432,-45.2371,41.02,77,78,5.08,broken clouds
245,Batagay,RU,67.6333,134.6333,66.47,32,94,5.97,overcast clouds
246,Rome,US,34.257,-85.1647,75.42,89,51,3.56,broken clouds
247,Show Low,US,34.2542,-110.0298,76.71,11,1,10.36,clear sky
248,Buchanan,LR,5.8808,-10.0467,78.76,88,30,2.73,light rain
249,Baghdad,IQ,33.3406,44.4009,76.91,33,0,8.05,clear sky
250,Anloga,GH,5.7947,0.8973,82.62,83,100,8.81,light rain
251,Nuuk,GL,64.1835,-51.7216,32.88,85,13,8.01,few clouds
252,Anadyr,RU,64.75,177.4833,46.9,57,0,6.49,clear sky
253,Lulea,SE,65.5842,22.1547,44.67,61,99,9.22,overcast clouds
254,San Cristobal,VE,7.7669,-72.225,71.78,94,95,1.39,overcast clouds
255,Bathsheba,BB,13.2167,-59.5167,81.21,61,40,17.25,scattered clouds
256,Saint-Pierre,RE,-21.3393,55.4781,71.24,76,0,6.91,clear sky
257,Alyangula,AU,-13.8483,136.4192,80.47,61,71,16.26,broken clouds
258,Iqaluit,CA,63.7506,-68.5145,29.93,80,75,11.99,broken clouds
259,Isilkul,RU,54.9109,71.2728,53.01,59,6,7.65,clear sky
260,Paragominas,BR,-2.9667,-47.4833,73.38,78,40,2.73,scattered clouds
261,Kagoro,NG,9.6,8.3833,69.75,91,52,2.06,broken clouds
262,Phalodi,IN,27.1333,72.3667,92.93,40,2,17.38,clear sky
263,Mayo,US,38.8876,-76.5119,74.12,84,100,4.41,overcast clouds
264,Tabou,CI,4.423,-7.3528,78.78,84,21,4.92,light rain
265,Poshekhonye,RU,58.4993,39.1353,52.11,73,76,3.56,broken clouds
266,Pacific Grove,US,36.6177,-121.9166,68.4,83,75,1.99,broken clouds
267,Tarauaca,BR,-8.1614,-70.7656,72.73,85,57,1.54,broken clouds
268,Ostrovnoy,RU,68.0531,39.5131,41.85,80,99,17.2,overcast clouds
269,Vardo,NO,70.3705,31.1107,35.8,76,96,23.82,overcast clouds
270,Vakhrushev,RU,48.9833,142.9667,44.92,70,100,9.62,overcast clouds
271,Banda Aceh,ID,5.5577,95.3222,86.81,61,68,12.41,broken clouds
272,Berlevag,NO,70.8578,29.0864,35.83,81,100,22.95,overcast clouds
273,Mount Gambier,AU,-37.8333,140.7667,55.31,71,90,11.5,overcast clouds
274,Port Lincoln,AU,-34.7333,135.8667,61.77,57,97,9.64,overcast clouds
275,Algiers,DZ,36.7525,3.042,62.42,88,75,3.49,broken clouds
276,Saint George,US,37.1041,-113.5841,90.19,7,1,11.5,clear sky
277,Hambantota,LK,6.1241,81.1185,82.74,89,20,22.32,few clouds
278,Esperance,AU,-33.8667,121.9,64.24,41,0,15.01,clear sky
279,Vanderhoof,CA,54.0166,-124.0198,40.28,97,100,8.79,overcast clouds
280,Ratnagiri,IN,16.9833,73.3,86.05,71,93,7.67,overcast clouds
